criterion_id,criterion_type,text
food-K-047,cc-undefined,"Alle Kinder erhalten eine ausgewogene, abwechslungsreiche, altersgemässe und warme Mahlzeit."
food-K-046,cc-undefined,"Alle Kinder erhalten eine ausgewogene, abwechslungsreiche, altersgemässe und warme Mahlzeit."
food-K-046,cc-award_criterion,"Altersgerechtes Angebot für Kinder im Alter von ein bis zwölf Jahren mit attrakti-
ven Menüs"
food-K-047,cc-award_criterion,"Altersgerechtes Angebot für Kinder im Alter von ein bis zwölf Jahren mit attrakti-
ven Menüs"
food-K-049,cc-award_criterion,"Bericht einer Ernährungsfachperson bezüglich Nährwert und Menüplanung (maximal 

eine A4-Seite)"
food-HF-011,cc-award_criterion,Vegetarische Komponenten
food-K-041,cc-award_criterion,Regionale und saisonale Produkte
food-K-038,cc-award_criterion,Regionale und saisonale Produkte
food-HF-013,cc-award_criterion,Minimierung von Foodwaste
food-K-045,cc-award_criterion,Nachhaltige Verpackung / Gebinde
food-K-051,cc-award_criterion,Allergiker- Report im Webshop
food-K-072,cc-undefined,"Umweltgerechte Fahrzeuge mit tie-
fem Treibstoffverbrauch sind im Einsatz."
